,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,0
365,0
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,0
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,1
530,1
531,0
532,0
