,0
0,1
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,0
452,1
453,1
454,0
455,1
456,1
457,1
458,0
459,1
460,0
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,0
495,1
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,1
590,0
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,0
685,1
686,0
687,1
688,1
689,0
690,1
691,1
692,1
693,1
694,0
695,1
696,0
697,1
698,1
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,1
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,0
774,1
775,0
776,0
777,0
778,0
779,1
780,1
781,0
782,0
783,1
784,0
785,1
786,0
787,0
788,0
789,1
790,1
791,1
792,0
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,0
802,1
803,0
804,1
805,0
806,1
807,1
808,1
809,0
810,0
811,1
812,0
